count,example_snippets,name,top_terms,topic_id
17534,"Grundsätzlich haben wir im Agaplesion Krankenhaus Rotenburg sehr gute Erfahrungen gemacht. Das Personal war freundlich und kompetent, insbesondere die Hebammen und die Kinderstation verdienen ausdrücklich Lob. Fünf Sterne für euch! Zwei … || Für mich null Sterne … Ich wurde letzte Woche mit dem Krankenwagen abgeholt weil es mir nicht gut ging und ich habe ihn nicht gerufen weil ich Langeweile hatte … … || Ich bin an einem Sonntag in die Notaufnahme gekommen. Ein Fall für die Handchirurgie. Ich habe mich von dem ersten Moment an gut aufgehoben gefühlt. …",-1_ich_und_die_der,"ich, und, die, der, das, war, sehr, in, nicht, es, ist, mit",-1
1389,"Die Unfallchirurgie ist ein Witz. Die Ärzte kennen die Werte ihrer Patienten nicht und geben keinerlei Auskünfte über den geplanten Verlauf oder die Entlassung. Zusätzlich werden angeordnete Maßnahmen wie Physio oder Ähnliches nicht weitergeführt. We || Was auffällig war, dass innerhalb der Belegschaft eine durchaus positive Stimmung herrschte. Es wurde gelacht und gescherzt. Diese Stimmung überträgt sich auf den Patienten für den sich auch Zeit genommen wird. Das Personal lässt sich auch nicht von  || Schlechtestes krankenhaus in dem ich jemals war weil jemand anders mit dem Krankenwagen angeholt werden musste wurde ich gleich unnötig mit dem krankenwagen mit hin gefahren der Support ist einfach undurchsichtig und auf probleme die nicht bestehen a",0_nicht_patienten_man_krankenhaus,"nicht, patienten, man, krankenhaus, ist, wird, es, die, das, werden, zu, sind",0
1093,"Wir hatten zur Geburt unserers Kindes einen angemessenen Aufenthalt. Es gab Umstände die jedoch für mich nicht Wertbar sind da ich nicht genug Hintergründe kenne. Die Bisichrigungs Termin sind schwer zu empfehlen und es gibt vieles dazu … || Ein herzliches Dankeschön an Hebamme Wencke Schättiger im Krankenhaus Kreißsaal in Rotenburg. In den schwierigen Momenten meiner Geburt nach Mitternacht waren Sie für mich … || Wir haben uns im Agaplesion Klinikum Schaumburg, sowohl im Kreißsaal als auch auf der Station, rundum wohl und bestens aufgehoben gefühlt. Die Schwestern auf der Station sind unglaublich lieb, herzlich und jederzeit hilfsbereit – man fühlt sich ernst",1_geburt_hebammen_wir_kreißsaal,"geburt, hebammen, wir, kreißsaal, uns, welt, hebamme, und, die, im, haben, ich",1
504,"Ich bin heute am Finger operiert worden. Da ich sehr schlechte Venen habe, war bei allen vorangehenden OP's das legen der Zugänge immer eine Katastrophe. Diesmal möchte ich der Anästhesie, im besonderen Dr Tübben ein großes Dankeschön hier ausspreche || Ich bin in den letzten zwei Monaten nach einem Fahrradsturz zweimal im Bathildiskrankenhaus in Bad Pyrmont an meiner rechten Hand operiert worden. Der Aufenthalt bleibt mir trotz der Operationen in positiver Erinnerung, weil mich das Team der Anästhe || Vor der OP fühlte ich mich besonders in der Anästhesie gut beraten. Starte beruhigt in die Operation.",2_op_sehr_ich_gut,"op, sehr, ich, gut, mich, und, war, dr, operiert, der, wurde, operation",2
408,"Am Wochenende musste ich mit meinen 1,5 jährigen Sohn in die Notaufnahme wegen einer kleinen Platzwunde. Von Anmeldung bis zum Abschluss der Behandlung sind keine 30 min. vergangen. Sicherlich hatten wir Glück, dass nicht so viel los war, … || Die medizinische Versorgung meines minderjährigen Sohnes war in Ordnung. Leider war die Kommunikation sehr unzureichend. Ich wurde weder darüber informiert, dass mein Sohn aus der Narkose erwacht ist, … || Mit Abstand der schlechteste Umgang mit einem Patienten. Waren mit unserem 2 jährigen Sohn mit Überweisung mit Verdacht auf Schädelfraktur in diesem Krankenhaus in der Notaufnahme, da es anders nicht möglich war, musste ich meine beiden …",3_kind_sohn_wir_kinder,"kind, sohn, wir, kinder, fieber, mit, er, stunden, nicht, mein, warten, es",3
392,"Ich möchte meinen aufrichtigen Dank für die hervorragende Betreuung während meines Aufenthalts in Ihrem Krankenhaus nach meiner Wirbelsäulenoperation aussprechen. … || Ich bin äußerst zufrieden mit der Behandlung bei Dr. Omran. Er hat sich viel Zeit für mich genommen, meine Beschwerden ernst genommen und eine gründliche Untersuchung durchgeführt. Seine freundliche und kompetente Art hat mir sofort Vertrauen gegeben || Ein herzliches Dankeschön an die Unfallchirurgie.Meine Op ist sehr gut verlaufen kann dieses Krankenhaus nur weiter empfehlen.",4_dr_dank_möchte_bedanken,"dr, dank, möchte, bedanken, team, für, an, mich, herzlich, vielen, und, bei",4
373,Meine Erfahrung bzw Meinung: Niemals freiwillig! … || Das AKH kann man in 3 Stichpunkten zusammen fassen: -fehlendes Fachwissen -Unfreundlichkeit -Desinteresse || Ohne Worte und dann noch wundern das kein Geld in die Kassen kommen,5_unfreundlich_schlecht_nie_nicht,"unfreundlich, schlecht, nie, nicht, einfach, empfehlen, worte, nur, schmutz, wieder, zu, keine",5
343,"Ich komme aus Berlin bin hier auf Reha und kam in diese Klinik. Ich muss sagen das ist das schlimmste Krankenhaus was ich je erlebt habe . Mir wurde in der Klinik nicht geholfen als erwartet.Man bekommt zu gut wie keine Aussagen zu irgendwelchen Befu || Lasst euch hier nicht behandeln! Inkompetenz pur bei dem Personal! Krankenschwestern die schwer hören und dazu noch vergesslich sind werde unterstütz von „Artzen“ die kaum Deutsche Sprache beherrschen. So eine schlechte Erfahrung hatte ich bisher noc || Eine ganz liebe Freundin wurde wegen zweier Schlaganfälle in diese Klinik eingeliefert. Sie selbst und ihre Angehörigen haben eine Betreuung erfahren, von der man in anderen Kliniken in Deutschland nur träumen kann. Ob Ärzte oder Schwestern, alle hab",6_deutsch_deutschland_nicht_in,"deutsch, deutschland, nicht, in, man, krankenhaus, sie, ist, das, sprechen, die, zu",6
319,"Nach einem Treppensturz, mit mehrfachen Prellungen und einem gebrochenen Brustbein, musste meine in Chemotherapie befindliche Mutter vergeblich 6 Stunden in der Notaufnahme auf Behandlung / Diagnose warten. || Einfach gestorben... (würde gerne Keinen Stern geben) Als ich von der Erkrankung meine Oma hörte, war ich sofort ins Krankenhaus zu ihr gereist... dort musste die Familie und ich dann mitansehen, wie sie innerhalb weniger Tage viel zu jung starb. Die || Musste meine Mutter nach Atemstillstand dorthin bringen. Erst nach 3 Tagen eine Ärztin dort angetroffen. Die Pflegerinnen waren eine Zumutung. Nie wieder.",7_mutter_sie_meine_wurde,"mutter, sie, meine, wurde, nicht, ihr, wir, hat, in, zu, mit, der",7
315,Meine Frau war da drei Tage wegen MS und ist alles gut gelaufen das ist die beste Krankenhaus in Bad Pyrmont || Bestes Krankenhaus || Die Spezialität dieses Krankenhauses,8_krankenhaus_gutes_sehr_ein,"krankenhaus, gutes, sehr, ein, schönes, beste, personal, gut, nettes, ist, tolles, freundlich",8
