count,example_snippets,name,top_terms,topic_id
5873,"Grundsätzlich haben wir im Agaplesion Krankenhaus Rotenburg sehr gute Erfahrungen gemacht. Das Personal war freundlich und kompetent, insbesondere die Hebammen und die Kinderstation verdienen ausdrücklich Lob. Fünf Sterne für euch! Zwei … || Für mich null Sterne … Ich wurde letzte Woche mit dem Krankenwagen abgeholt weil es mir nicht gut ging und ich habe ihn nicht gerufen weil ich Langeweile hatte … … || Das Allerletzte. Mein Partner hat gestern als akutfall wegen Speiseröhrenkrebs eine Überweisung bekommen. Sogar mit Code! …",-1_krankenhaus und_das pflegepersonal_der patient_patientin,"krankenhaus und, das pflegepersonal, der patient, patientin, nach stunden, im wartezimmer, ein arzt, angekommen, stern geben, stunden in",-1
736,"Ganz Ehrlich, wurde mitm Krankenwagen eingeliefert da mein Rücken und rippen die Luft abgedrückt haben. Denkt Ihr ich wurde dran genommen. Nein! Wurde Ich mitm Krankenwagen eingeliefert. Ja! Habe trotzdem 4 std gewartet mit den übelsten Schmerzen. Da || Meine letzte Erfahrung war nicht schön. Ich hatte einen Arm in Gips,welcher natürlich an einem Wochenende anfing schmerzlich zu drücken. Meine Finger wurden kalt und verfärbten sich. Durch Recherche im Internet war mir klar,das der Gips runter musste || Miserabel - mehr fällt mir dazu nicht ein. Im Juni war ich hier sonntags morgens wegen einer sehr schmerzhaften ISG-Blockade in der Notaufnahme. Erst einmal hieß es knapp 2 Stunden zu warten, da die Orthopäden in der Notaufnahme wohl erst um 10 Uhr a",0_zum hausarzt_ein arzt_mein hausarzt_meinem hausarzt,"zum hausarzt, ein arzt, mein hausarzt, meinem hausarzt, nach stunden, bericht, freitag, fieber, schmerzmittel, bauchschmerzen",0
343,"Unfassbar! Meine Oma war in der Geriatrie der M&I wegen eines Unterschenkelhalsbruchs und wurde aufgrund Atemnot und Herzrasen ins Bathildiskrankenhaus verlegt. Dies stellt sich aber als Fehlalarm herraus. Trotzdem bestand der behandelnde auf ein bel || Nach einem Treppensturz, mit mehrfachen Prellungen und einem gebrochenen Brustbein, musste meine in Chemotherapie befindliche Mutter vergeblich 6 Stunden in der Notaufnahme auf Behandlung / Diagnose warten. || Einfach gestorben... (würde gerne Keinen Stern geben) Als ich von der Erkrankung meine Oma hörte, war ich sofort ins Krankenhaus zu ihr gereist... dort musste die Familie und ich dann mitansehen, wie sie innerhalb weniger Tage viel zu jung starb. Die",1_patientin_pflegeheim_intensivstation_mutter hatte,"patientin, pflegeheim, intensivstation, mutter hatte, der intensivstation, schlaganfall, katastrophe meine, rollstuhl, mutter war, sie lag",1
323,Ich komme aus Berlin bin hier auf Reha und kam in diese Klinik. Ich muss sagen das ist das schlimmste Krankenhaus was ich je erlebt habe . Mir wurde in der Klinik nicht geholfen als erwartet.Man bekommt zu gut wie keine Aussagen zu irgendwelchen Befu || Lasst euch hier nicht behandeln! Inkompetenz pur bei dem Personal! Krankenschwestern die schwer hören und dazu noch vergesslich sind werde unterstütz von „Artzen“ die kaum Deutsche Sprache beherrschen. So eine schlechte Erfahrung hatte ich bisher noc || Diese Krankenhaus ist eine Zumutung und gehört Dringend von den Behörden überprüft !!! Der Arzt nimmst sich keine Zeit für eine vernünftige Diagnose und vor allem versteht der nichtmal unsere Sprache und ich sein gebrochenes Deutsch nicht. Ich habe n,2_arzt sprach_dem arzt_arzt der_krankenhäuser in,"arzt sprach, dem arzt, arzt der, krankenhäuser in, schlechteste krankenhaus, ärzte sprechen, schlimmste krankenhaus, krankenhäuser, klinik in, ärzte können",2
281,"Ich bin extrem enttäuscht und wütend über die Organisation in diesem Krankenhaus. Meine Operation wurde zweimal verschoben – beim ersten Mal hieß es, die Sekretärin habe einen Fehler beim Termin gemacht, und beim zweiten Mal wurde mir am … || Wegen starker Oberbauchschmerzen und mehrfachen Erbrechens habe ich den ärztlichen Bereitschaftsdienst aufgesucht. Leider habe ich mich nicht ernst genommen gefühlt. Es gab keine weitere Abklärung, und die Kommunikation empfand ich als unangemessen u || Meine Erfahrung in diesem Krankenhaus sind überwiegend negativ. Ich war dort eine Nacht aufgrund einer Überweisung vom Hausarzt. Erst musste ich mit 38,7 grad Fieber über mehrere Stunden warten und dann wird man so respektlos behandelt! Ich kann dies",3_mitpatienten_als patient_tagesklinik_klinik ich,"mitpatienten, als patient, tagesklinik, klinik ich, das pflegepersonal, falsche diagnose, betreuung, keine therapie, psychiatrie, therapie",3
264,"Ich verstehe nicht, weshalb man hier Termine vergibt . Es werden alle nacheinander aufgerufen, diejenigen ohne Termin , kommen eher dran als wir …. Mit Termin . Bis zu 7 Stunden Wartezeiten sollten hier in Kauf genommen werden. Auch mit … || Der Wartesaal ist leer, trotzdem sitzt man und wartet und wartet! Wenn man an die Scheibe klopft um sich bemerkbar zu machen, erntet man genervte Blicke und den Kommentar „Ja gleich“! Nach weiteren 30 Minuten Wartezeit ergreift man die Initiative und || Trotz Termin sehr lange Wartezeit. Mit der Wartemarke zur Anmeldung ging es von der Zeit her normal. Doch bis man dann zu der entsprechenden Untersuchung oder zum Vorgespräch kommt, sind 2 Stunden Wartezeit gar nichts. Beim letzten Aufenthalt hat das",4_trotz termin_personal wartezeit_wartezeiten sind_nicht stunden,"trotz termin, personal wartezeit, wartezeiten sind, nicht stunden, lange wartezeit, warte stunden, stunden wartezeiten, stunden auszuhalten, wartezeiten termin, wartezeit über",4
239,"Geplante Operation stand nicht im OP-Plan, ein späterer OP-Termin wurde mit fadenscheinigen Begründungen weniger als 24 Stunden vor der OP um 5 Wochen verschoben. Unsensible, fast freche, Telefonate mit dem Chirurgen. Mein vertrauen in diese Klinik w || Ein Stern ist sogar zu viel! Notaufnahme 08.09.2025 Viertel vor 10h suchte ich die Notaufnahme wegen Verdacht auf Bruch, Prellung bzw. Quetschung am Fuß auf. Bei meiner Ankunft saßen nur vier Patienten im Wartebereich. Dennoch betrug meine Wartezeit  || Kann ich absolut nicht empfehlen! Ich war dort nach einer Schulteroperation, die im August 2024 erfolgt ist. Termin für die Anschlussbehandlung erst im November erhalten. Dr. Massaouh hat mich beim Termin nicht untersucht, müsste erstmal die Unterlag",5_anästhesie gespräch_alle patienten_anästhesie_notfälle,"anästhesie gespräch, alle patienten, anästhesie, notfälle, operiert werden, dr massouh, beim termin, trotz termin, abgesagt, op termin",5
236,"Würde den Arzt nicht weiter empfehlen, Trotz mehrere Diagnosen MS, ist der Arzt der Meinung das man psychisch Kranke sei, und Stationär behandelt werden soll, ohne Untersuchung ohne Befunde nur weil er einen angeschaut hat. Vorbefunde und Diagnosen i || Unfreundlicher geht es gar nicht... und man versteht teilweise das Personal und die Ärzte nicht. || Absolut vermeiden wenn möglich. Grenzt schon an Patienten Gefährdung. Man frag sich wie es möglich sein kann das die Ärzte das Studium geschafft hab wenn sie immer wieder Röntgenbilder falsch lesen, Hygiene Maßnahmen unterlassen und sich den Patiente",6_patienten überfordert_unfreundliche ärzte_inkompetente ärzte_der patienten,"patienten überfordert, unfreundliche ärzte, inkompetente ärzte, der patienten, mit patienten, dem patienten, patienten werden, der patient, patient schmerzen, arzt wenn",6
209,"Unzumutbar – Das Schlimmste, was wir je erlebt haben (Eigene Erfahrung, persönliche Meinung) Mit einer ärztlichen Einweisung (Verdacht auf Bandscheibenvorfall) kamen wir in die Notaufnahme. Meine Frau hatte massive Schmerzen, konnte kaum noch laufen, || Meine Frau wurde nach einem Unfall in dieses Krankenhaus gebracht,ich hoffe nicht wieder.Bauzäune um den Eingang.den man suchen muss,Rollstuhlfahrer,die sich eine steile Auffahrt hochkämpfen,gar nicht an die Herrschaften mit Rolator gedacht?Zumachen  || Notaufnahme NICHT zu empfehlen,meine Frau ging gestern mit einer Einweisung vom Arzt in die Notaufnahme. Direkt am Empfang hieß es dann die werden sie eh nicht aufnehmen! Als meine Frau dann sagte gut dann Fahren wir nach Großburgwedel wurde sie zumi",7_der patient_arzt in_notaufnahme gebracht_starken schmerzen,"der patient, arzt in, notaufnahme gebracht, starken schmerzen, schmerzmittel, starke schmerzen, zur notaufnahme, schmerzen und, rückenschmerzen, schmerzen im",7
207,"Mein Vater wurde mit einer Notfall Einweisung zum Klinikum geschickt, da er schwer krank war. Er wurde nicht ernst genommen und ihm wurde gesagt, wenn er kein Blut spuckt, wäre es kein Notfall. Ihm wurde ernsthaft erklärt, was die Definition eines No || Mein Stiefvater 86 Jahre alt wurde mit starken Schmerzen mit dem Krankenwagen um 21.00 eingeliefert. In der Nacht um 1.30 wurde er trotz seiner starken Schmerzen und Benommenheit mit dem Taxi nach Hause geschickt, ohne die Angehörigen zu informieren, || Kein gutes Krankenhaus, lassen verwirrte einfach abhauen, vor 2 Wochen zu erst mein Onkel, heute meine demente Tante, da scheint wohl keiner aufzupassen!",8_starken schmerzen_ein schlaganfall_einen schlaganfall_er verstorben,"starken schmerzen, ein schlaganfall, einen schlaganfall, er verstorben, schlaganfall, einer lungenentzündung, durfte nicht, lungenentzündung, stunden später, rollstuhl",8
