Krankenhaus,Anzahl_Standorte,Betten_gesamt,Orte,Kreise,Telefon,E_Mail,Website,Traeger,Quelle
AGAPLESION Diakonieklinikum Rotenburg gGmbH,3,758.0,"Rotenburg (Wümme), Verden (Aller)",Rotenburg (Wümme),04261 77-0,krankenhaus@diako-online.de,www.diako-online.de,AGAPLESION Diakonieklinikum Rotenburg gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AGAPLESION Ev. Bathildiskrankenhaus,1,243.0,Bad Pyrmont,Hameln-Pyrmont,05281 99-0,info@bathildis.de,www.bathildis.de,AGAPLESION Ev. Bathildiskrankenhaus Bad Pyrmont gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AGAPLESION Ev. Klinikum Schaumburg,1,373.0,Obernkirchen,Schaumburg,05724 9580-0,information.ksl@agaplesion.de,www.ev-klinikum-schaumburg.de,AGAPLESION Ev. Klinikum Schaumburg gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AGAPLESION Evangelisches Krankenhaus Holzminden gGmbH,1,181.0,Holzminden,Holzminden,05531 705-0,welcome@evk-holzminden.de,www.evk-holzminden.de,AGAPLESION Evangelisches Krankenhaus Holzminden gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AGAPLESION Krankenhaus Neu-Bethlehem gGmbH,1,130.0,Göttingen,Göttingen,0551 494-0,info@neubethlehem.de,www.neubethlehem.de,AGAPLESION Krankenhaus Neu-Bethlehem gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AMEOS Klinikum Alfeld,1,125.0,Alfeld,Hildesheim,05181 707-0,info@alfeld.ameos.de,www.ameos.eu,AMEOS Klinikum AlfeldGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AMEOS Klinikum Hameln,1,40.0,Hameln,Hameln-Pyrmont,05151 9567-8501,info@hameln.ameos.de,www.ameos.eu,AMEOS Krankenhausgesellschaft Niedersachsen mbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AMEOS Klinikum Hildesheim,6,370.0,"Alfeld, Goslar, Hameln, Hildesheim, Holzminden",Hildesheim,05121 103-1,info@hildesheim.ameos.de,www.ameos.eu,AMEOS Krankenhausgesellschaft Niedersachsen mbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AMEOS Klinikum Osnabrück,1,382.0,Osnabrück,"Osnabrück, Stadt",0541 405-0,info@klinikum-os.de,www.klinikum-os.de,AMEOS Krankenhausgesellschaft Niedersachsen mbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AMEOS Klinikum Seepark Geestland GmbH,3,203.0,"Cuxhaven, Geestland, Osterholz-Scharmbeck","Cuxhaven, Osterholz",04743 893-0,info@geestland.ameos.de,www.ameos.eu,AMEOS Klinikum Geestland GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
ASKLEPIOS Fachklinikum Göttingen,2,436.0,"Göttingen, Seesen",Göttingen,0551 402-0,poststelle.goettingen@asklepios.com,www.asklepios.com,Asklepios Psychiatrie Niedersachsen GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
ASKLEPIOS FachklinikumTiefenbrunn,1,194.0,Rosdorf,Göttingen,0551 5005-0,poststelle.tiefenbrunn@asklepios.com,www.asklepios.com,Asklepios Psychiatrie Niedersachsen GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
